地域,合計,宅地,(宅地利用比率：公共),(宅地利用比率：商業),(宅地利用比率：住宅),(宅地利用比率：工業),(宅地利用比率：農業),その他,(屋外利用地),公園等,未利用地等,道路等,(道路),農用地,水面・河川・水路,森林,原野,建物棟数,耐火造,準耐火造,防火造,木造
千代田区,"1,136.2",657.5,42.8,45.7,9.1,2.4,,14.0,(13.9),78.0,13.6,313.8,(282.3),0.0,59.4,0.0,0.0,11119,96.0,1.1,2.5,0.5
中央区,"1,045.3",459.4,14.3,56.0,24.4,5.3,,16.9,(16.9),49.3,37.7,310.1,(309.4),0.0,172.0,0.0,0.0,16495,90.1,3.2,6.0,0.8
港区,"2,098.5","1,266.8",25.3,36.9,32.8,4.9,,54.8,(54.8),150.4,57.7,502.6,(448.0),0.0,66.0,0.1,0.0,26997,86.3,5.4,6.7,1.7
新宿区,"1,825.4","1,243.8",20.0,23.6,53.9,2.4,,36.4,(36.3),117.3,28.3,387.0,(364.8),0.1,11.8,0.4,0.2,50108,69.4,10.4,19.1,1.1
文京区,"1,135.2",795.6,26.6,17.0,53.6,2.8,,19.6,(19.5),82.4,12.5,220.1,(215.9),0.0,5.0,0.0,0.0,35705,63.2,12.8,22.0,2.0
台東区,"1,007.8",559.1,21.1,34.4,36.6,7.9,,32.2,(32.2),83.6,10.5,282.2,(267.6),0.0,40.0,0.0,0.0,38424,62.5,10.1,23.2,4.1
墨田区,"1,371.1",758.9,12.5,22.4,48.9,16.2,,52.7,(52.7),92.5,15.9,346.2,(319.5),0.0,99.2,0.0,5.7,46467,51.0,22.5,24.1,2.3
江東区,"4,197.4","1,999.0",18.5,20.1,34.2,27.3,,189.5,(189.5),440.2,182.1,858.7,(750.7),1.0,526.8,0.0,0.0,51071,66.9,19.7,12.4,0.9
品川区,"2,344.7","1,369.7",14.3,19.2,53.7,12.8,,150.2,(150.2),140.2,26.0,561.8,(433.3),0.2,92.0,0.0,4.7,61288,53.9,11.9,31.8,2.4
目黒区,"1,475.9","1,085.0",16.5,12.5,69.1,1.9,0.0,34.7,(34.5),47.4,22.6,275.0,(264.6),2.2,8.6,0.0,0.4,50824,50.4,21.2,26.2,2.3
大田区,"6,216.2","3,124.3",12.8,10.5,54.7,22.0,0.0,219.7,(219.6),302.1,89.1,"2,057.3",(941.6),4.7,358.6,1.2,59.3,134420,44.4,19.6,31.9,4.0
世田谷区,"5,808.0","3,946.9",14.1,9.6,74.7,1.6,0.0,187.3,(186.2),329.7,88.1,"1,040.8",(1001.8),107.6,49.9,18.7,38.9,169431,38.3,18.2,40.2,3.4
渋谷区,"1,511.3","1,042.7",21.4,29.5,47.6,1.4,,28.5,(28.1),93.1,29.8,314.5,(288.3),0.1,2.7,0.0,0.0,36777,73.7,8.2,17.1,0.9
中野区,"1,557.5","1,120.8",11.8,10.6,75.8,1.7,0.0,49.1,(49.0),52.3,25.0,294.7,(276.1),4.0,11.6,0.0,0.0,64178,39.5,17.0,39.2,4.3
杉並区,"3,390.0","2,403.6",11.4,8.0,79.0,1.5,0.0,104.9,(103.8),156.7,42.2,607.5,(585.6),45.0,26.5,3.5,0.0,121099,30.2,17.3,48.0,4.5
豊島区,"1,298.4",892.9,15.2,18.6,63.6,2.6,,40.3,(40.3),49.8,15.7,298.0,(266.5),0.1,1.6,0.0,0.0,52423,55.1,17.5,25.4,2.0
