団体名,所得者区分,合計_均等割を納める者_納税義務者数(単位：人),合計_均等割を納める者_均等割額(単位：千円)
千代田区,給与所得者,29769,103997
千代田区,営業等所得者,1863,6516
千代田区,農業所得者,0,0
千代田区,その他の所得者,5658,19771
千代田区,家屋敷等のみ,6069,21242
千代田区,計,43359,151526
中央区,給与所得者,81610,285222
中央区,営業等所得者,4517,15801
中央区,農業所得者,0,0
中央区,その他の所得者,10173,35558
中央区,家屋敷等のみ,1464,5124
中央区,計,97764,341705
港区,給与所得者,118837,415058
港区,営業等所得者,7783,27210
港区,農業所得者,3,10
港区,その他の所得者,19535,68257
港区,家屋敷等のみ,636,2226
港区,計,146794,512761
新宿区,給与所得者,154633,540691
新宿区,営業等所得者,9254,32348
新宿区,農業所得者,1,4
新宿区,その他の所得者,25434,88896
新宿区,家屋敷等のみ,1943,6801
新宿区,計,191265,668740
文京区,給与所得者,101546,355412
文京区,営業等所得者,5032,17611
文京区,農業所得者,1,4
文京区,その他の所得者,18073,63256
文京区,家屋敷等のみ,552,1932
文京区,計,125204,438215
台東区,給与所得者,90073,314352
台東区,営業等所得者,6950,24310
台東区,農業所得者,3,11
台東区,その他の所得者,14467,50541
台東区,家屋敷等のみ,962,3367
台東区,計,112455,392581
墨田区,給与所得者,128195,447204
墨田区,営業等所得者,6628,23168
墨田区,農業所得者,1,4
墨田区,その他の所得者,17027,59485
墨田区,家屋敷等のみ,397,1390
墨田区,計,152248,531251
江東区,給与所得者,236509,824581
江東区,営業等所得者,10648,37226
江東区,農業所得者,0,0
江東区,その他の所得者,34004,118793
江東区,家屋敷等のみ,433,1516
江東区,計,281594,982116
品川区,給与所得者,191133,667189
品川区,営業等所得者,9418,32930
品川区,農業所得者,1,4
品川区,その他の所得者,30325,105984
品川区,家屋敷等のみ,596,2086
品川区,計,231473,808193
目黒区,給与所得者,132088,461132
目黒区,営業等所得者,8910,31148
目黒区,農業所得者,0,0
目黒区,その他の所得者,24269,84806
目黒区,家屋敷等のみ,615,2153
目黒区,計,165882,579239
大田区,給与所得者,340567,1189509
大田区,営業等所得者,15674,54798
大田区,農業所得者,6,21
大田区,その他の所得者,56287,196703
大田区,家屋敷等のみ,590,2065
大田区,計,413124,1443096
世田谷区,給与所得者,402442,1403794
世田谷区,営業等所得者,26559,92828
世田谷区,農業所得者,18,63
世田谷区,その他の所得者,77665,271379
世田谷区,家屋敷等のみ,825,2887
世田谷区,計,507509,1770951
渋谷区,給与所得者,107756,376514
渋谷区,営業等所得者,8615,30109
渋谷区,農業所得者,2,7
渋谷区,その他の所得者,19570,68394
渋谷区,家屋敷等のみ,1419,4967
渋谷区,計,137362,479991
中野区,給与所得者,157313,549513
中野区,営業等所得者,9255,32362
中野区,農業所得者,0,0
中野区,その他の所得者,25663,89719
中野区,家屋敷等のみ,474,1659
中野区,計,192705,673253
杉並区,給与所得者,263378,919645
杉並区,営業等所得者,15559,54380
杉並区,農業所得者,4,14
杉並区,その他の所得者,49164,171867
