市区町村,総人口(単位：人),15歳未満人口(単位：人),15～64歳人口(単位：人),65歳以上人口(単位：人),外国人人口(単位：人),人口集中地区人口(単位：人),出生数(単位：人),死亡数(単位：人),転入者数(単位：人),転出者数(単位：人),昼間人口(単位：人),世帯数(単位：世帯),一般世帯数(単位：世帯),核家族世帯数(単位：世帯),単独世帯数(単位：世帯),65歳以上の世帯員のいる核家族世帯数(単位：世帯),高齢夫婦世帯数(単位：世帯),高齢単身世帯数(単位：世帯),婚姻件数(単位：組),離婚件数(単位：組),総面積(単位：k㎡),可住地面積(単位：k㎡),課税対象所得(単位：百万円),納税義務者数(単位：所得割）(単位：人),事業所数(単位：事業所),第２次産業事業所数(単位：事業所),第３次産業事業所数(単位：事業所),従業者数(単位：人),第２次産業従業者数(単位：人),第３次産業従業者数(単位：人),耕地面積(単位：k㎡),製造品出荷額等(単位：百万円),製造業従業者数(単位：人),商業年間商品販売額(単位：百万円),商業事業所数(単位：事業所),商業従業者数(単位：人),財政力指数(単位：市町村財政),実質収支比率(単位：市町村財政)(単位：％),実質公債費比率(単位：市町村財政)(単位：％),歳入決算総額(単位：市町村財政)(単位：百万円),歳出決算総額(単位：市町村財政)(単位：百万円),地方税(単位：市町村財政)(単位：百万円),幼稚園数(単位：園),幼稚園在園者数(単位：人),小学校数(単位：校),小学校教員数(単位：人),小学校児童数(単位：人),中学校数(単位：校),中学校教員数(単位：人),中学校生徒数(単位：人),高等学校数(単位：校),高等学校生徒数(単位：人),労働力人口(単位：人),就業者数(単位：人),完全失業者数(単位：人),第１次産業就業者数(単位：人),第２次産業就業者数(単位：人),第３次産業就業者数(単位：人),雇用者数(単位：人),役員数(単位：人),雇人のある業主数(単位：人),雇人のない業主数(単位：人),家族従業者数(単位：人),自市区町村で従業している就業者数(単位：人),他市区町村への通勤者数(単位：人),従業地による就業者数(単位：人),他市区町村からの通勤者数(単位：人),公民館数(単位：館),図書館数(単位：館),居住世帯あり住宅数(単位：住宅),持ち家数(単位：住宅),借家数(単位：住宅),１住宅当たり延べ面積(単位：㎡),非水洗化人口(単位：人),ごみ計画収集人口(単位：人),ごみ総排出量(単位：t),ごみのリサイクル率(単位：％),小売店数(単位：事業所),飲食店数(単位：事業所),大型小売店数(単位：事業所),百貨店，総合スーパー数(単位：事業所),一般病院数(単位：施設),一般診療所数(単位：施設),歯科診療所数(単位：施設),医師数(単位：人),歯科医師数(単位：人),薬剤師数(単位：人),介護老人福祉施設数(単位：所),児童福祉施設等数(単位：助産施設・児童遊園を除く）(単位：所),保育所等数(単位：所),保育所等在所児数(単位：人),国民健康保険被保険者数(単位：人)
千代田区　,58406,6698,39564,10286,2091,58406,659,388,6764,5682,853068,33262,33201,12571,19408,3573,1777,3166,635,119,11.66,11.66,333664,35326,34250,2305,31933,1038143,89808,948283,,38439,1814,47007930,5627,142113,,,0.8,59887,57709,18442,12,1237,11,273,4574,14,354,6041,18,10705,25149,24692,457,9,1972,18210,14506,3463,710,1390,563,10952,9520,755559,740387,0,6,27560,11340,14880,62.46,0,59554,,,3312,3507,93,3,15,476,336,1792,1700,4406,1,11,7,439,11228
中央区,141183,16798,101311,22694,4691,141183,2031,876,16853,11647,608603,79272,79256,33235,43377,8006,3930,7090,1681,379,10.21,10.21,562307,88613,37869,2776,35070,756052,68503,687295,,35549,1988,32939124,7390,162310,,,0.2,98580,95745,26441,16,1640,16,373,6240,5,121,1816,2,1000,68516,66868,1648,26,7033,49174,44710,7262,1417,3528,1137,24691,32801,534656,500589,0,5,76110,31310,42560,52.82,0,148283,,,3436,5003,105,4,4,536,449,1420,609,4245,4,48,38,3294,29948
港区　,243283,30012,170255,42694,17118,243283,2942,1508,20496,18227,940785,130562,130487,56229,66932,14904,7211,12869,2294,573,20.37,20.37,1541982,138285,39375,2389,36961,1014842,108420,906254,,27122,1228,40494294,5039,151500,,,-2.2,135353,128424,76826,30,3103,20,545,9723,22,536,9272,18,12702,92026,89508,2518,62,7768,61152,50616,12014,2014,5202,1439,34864,35849,761174,707515,0,9,111320,47060,56400,61.84,0,248585,,,3532,5351,97,4,13,742,584,2895,810,3436,8,60,45,3766,59508
新宿区,333560,27060,232488,65274,30506,333560,2606,2654,28394,26062,775549,204989,204547,64484,132644,22085,10408,21821,2680,579,18.22,18.22,926403,178642,33602,2696,30893,693036,59756,633027,,102228,5742,5887036,4009,75157,,,-3.4,143502,139651,45583,30,1904,30,624,9610,16,379,6211,11,8217,139638,134848,4790,91,11686,92337,84043,10808,2629,8588,2245,45451,61414,519077,445643,0,11,194970,70240,105370,50.75,4,338172,,,4244,5532,107,7,14,620,427,4562,766,2931,6,77,50,5087,101429
文京区,219724,23478,146424,41946,6634,219724,2027,1489,16980,14793,346132,120858,120753,47391,69076,14957,7062,12574,1619,295,11.29,11.29,718112,117718,14316,1814,12494,226335,25207,201054,,101745,5401,2514503,2239,29532,,,-4.2,86384,83213,32006,27,2986,24,605,11022,27,503,7925,26,16009,97897,95226,2671,63,10756,72217,66507,8960,2185,5792,1853,27255,57328,178831,140933,0,10,114590,51720,58670,58.88,0,213585,,,1662,1360,23,3,10,271,244,4744,1038,1872,5,65,48,3545,45022
台東区,198073,17601,131798,46590,13795,198073,1602,1890,14884,12625,303931,112117,109302,42383,61540,15021,6660,14539,1692,352,10.11,10.11,433618,104003,24446,3905,20539,246917,34345,212569,,69105,4017,4735609,5857,58362,,,-0.3,98001,95632,20962,19,2052,19,412,6684,9,199,2877,8,5469,89314,85952,3362,53,12806,57558,52989,8901,1949,6306,2543,30976,40618,189188,143854,0,4,99860,49700,43370,59.88,0,193234,,,3434,3028,36,3,7,228,233,437,321,587,8,42,27,2317,54625
墨田区,256274,26607,169311,58196,8624,256274,2502,2557,19083,15993,279181,130862,130678,59382,62886,21126,9375,15257,2424,518,13.77,13.77,526774,141848,16884,4491,12392,179072,35066,143999,,247163,11946,2011242,3105,31664,,,-0.3,115164,112201,23273,16,1686,25,595,9829,13,352,5386,7,6055,127038,122324,4714,92,23548,84509,89298,9110,2260,7700,2806,40939,68743,146122,92541,0,4,124060,53920,61730,62.22,5,264885,,,2215,1793,36,1,14,225,192,696,257,631,9,75,53,4847,64037
江東区,498109,62350,327546,105036,21373,498109,4517,4110,30523,26076,608532,243708,243575,127073,106682,40917,19150,27600,3170,914,40.16,40.16,1123595,265318,19112,3624,15472,375745,57233,318339,,257924,9317,4722117,3421,53389,,,-4.4,190724,186085,49986,32,4108,45,1213,23656,26,599,9212,12,7488,237160,228833,8327,160,34048,167231,174973,14253,3114,11594,3197,75956,129109,345287,245563,0,11,234160,108720,117180,58.81,8,505167,,,2772,2041,78,4,17,399,287,1281,391,1214,14,117,88,8797,111057
品川区,386855,40415,256619,78247,9259,386855,3714,2960,28197,24555,544022,212374,212286,86957,116560,28902,13230,22548,3275,715,22.84,22.84,1011052,218407,21609,2978,18623,412700,56238,356423,,97059,5678,10314828,3522,69705,,,-4.2,164543,159247,46954,28,3728,32,710,11788,15,354,5764,12,8743,188996,182766,6230,168,26835,134610,137535,12664,2969,10184,2726,59297,105394,332671,255299,0,10,198140,89350,98490,58.07,14,382572,,,2603,2711,59,4,16,443,351,1487,518,1943,9,126,80,7493,83123
目黒区,277622,28671,191610,55198,6919,277622,2511,1970,22717,20768,293832,146162,146076,62731,74518,19880,9423,14537,2466,473,14.67,14.67,945905,157123,12211,1099,11105,141132,11433,129652,,50130,2472,1140232,2132,20100,,,-3.3,93336,89781,43461,24,3364,24,600,10155,15,282,3665,11,8252,123429,119587,3842,207,12883,88582,80126,11427,2302,8757,1916,31171,72309,128729,81451,0,8,138330,60950,64380,64.84,8,273579,,,2166,1650,39,5,9,320,292,1070,369,849,6,68,38,3489,64432
